,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,55,968.4571429,638,6.96804923,6.501849354,35,"(965, 635, 972, 642)",34009.99,6.734949292,0.70541084,0.853658537,0.929611307,0.864177182,4
0,56,973.5,607,3.464101615,2.828427125,8,"(972, 606, 976, 609)",7193.285,3.14626437,0.14919797,0.195121951,0.434272451,0.188592561,4
0,3,480.8695652,1026.782609,5.873113003,4.929936635,23,"(479, 1024, 484, 1030)",20496.56,5.401524819,0.19547985,0.219047619,0.461038223,0.212556243,5
0,5,491.4086022,1036.978495,11.87363261,10.04904566,93,"(486, 1032, 498, 1043)",99704.266,10.96133914,0.9508998,0.885714286,0.935586984,0.875323004,5
0,6,489,1092,7.542472333,7.542472333,45,"(486, 1089, 493, 1096)",40962.336,7.542472333,0.3906661,0.428571429,0.643775259,0.414446584,5
0,7,489.125,1020.333333,6.081140987,4.93206649,24,"(487, 1018, 492, 1024)",22574.846,5.506603738,0.21530089,0.228571429,0.47000706,0.220906637,5
0,12,504.4,1081.4,4.618802154,4.026578365,15,"(503, 1080, 507, 1084)",10710.431,4.322690259,0.10214755,0.142857143,0.368956082,0.13612859,5
0,13,518.3846154,1050.384615,4.318667338,3.679464844,13,"(517, 1049, 521, 1053)",11712.158,3.999066091,0.11170123,0.123809524,0.341333676,0.116508678,5
0,20,619.7083333,916.2916667,6.165086667,4.96012273,24,"(618, 914, 623, 920)",22204.934,5.562604699,0.21177295,0.228571429,0.474786929,0.225422628,5
0,23,661.7037037,854.6481481,8.924517484,7.712719796,54,"(658, 851, 667, 859)",57725.953,8.31861864,0.55054414,0.514285714,0.710021944,0.504131161,5
0,24,661.3548387,842.0645161,6.813781933,5.792730483,31,"(659, 839, 665, 846)",29698.65,6.303256208,0.28324205,0.295238095,0.538004015,0.28944832,5
0,25,669.1346154,901.7115385,8.438764709,7.869890672,52,"(665, 898, 674, 906)",55823.21,8.15432769,0.5323973,0.495238095,0.695999162,0.484414833,5
0,26,671.6181818,1128.436364,8.719089239,8.057641219,55,"(668, 1125, 677, 1133)",53602.633,8.388365229,0.5112192,0.523809524,0.715975049,0.512620271,5
0,27,674.2264151,892.6603774,8.296396126,8.134154618,53,"(671, 889, 679, 897)",57133.5,8.215275372,0.5448938,0.504761905,0.70120125,0.491683193,5
0,28,685.1809524,886.4666667,13.12606017,10.30594418,105,"(679, 881, 692, 893)",104852.55,11.71600217,1,1,1,1,5
0,29,683.3636364,1071.534091,12.00684829,9.566581341,88,"(679, 1065, 689, 1078)",97496.16,10.78671481,0.9298406,0.838095238,0.920682213,0.847655738,5
0,31,700.875,849.125,3.464101615,2.738612788,8,"(700, 848, 703, 851)",7738.575,3.101357201,0.07380436,0.076190476,0.264711218,0.070072029,5
0,32,704,843.8,3.919183588,3.098386677,10,"(703, 842, 706, 846)",10900.549,3.508785133,0.103960745,0.095238095,0.299486555,0.089692197,5
0,34,720.3166667,787.9166667,8.924487973,8.592901655,60,"(716, 784, 725, 793)",55697.227,8.758694814,0.53119576,0.571428571,0.747583918,0.558881715,5
0,35,741.5,973,4.898979486,4,16,"(740, 971, 744, 976)",15293.707,4.449489743,0.14585918,0.152380952,0.379778842,0.144231969,5
0,36,768.5882353,783.1176471,5.181899763,4.04120104,17,"(767, 781, 771, 786)",17301.291,4.611550402,0.16500592,0.161904762,0.393611262,0.154929826,5
0,38,781.6829268,759.097561,10.54470608,9.947399459,82,"(777, 754, 788, 765)",88760.84,10.24605277,0.84653014,0.780952381,0.874534898,0.764811288,5
0,40,792.8846154,751.8974359,10.75578171,9.426288167,78,"(788, 748, 799, 758)",83886.89,10.09103494,0.80004627,0.742857143,0.861303608,0.741843904,5
0,43,867.8076923,734.4230769,6.108166991,5.421118046,26,"(865, 732, 871, 738)",25033.916,5.764642518,0.23875353,0.247619048,0.492031534,0.24209503,5
0,46,896.0434783,688.3043478,10.46027158,8.418285607,69,"(892, 684, 901, 693)",74439.375,9.439278594,0.7099434,0.657142857,0.805674022,0.64911063,5
0,47,933.8115942,675.7246377,10.33873921,8.551399563,69,"(930, 671, 939, 681)",66918.336,9.445069389,0.63821375,0.657142857,0.806168286,0.649907305,5
0,55,1088.25,639.25,4.379650052,3.672238021,12,"(1087, 638, 1091, 642)",10288.984,4.025944037,0.09812813,0.114285714,0.343627799,0.118080064,5
0,58,1136.789474,572.3684211,5.127073206,4.7117571,19,"(1135, 570, 1140, 575)",18070.248,4.919415153,0.17233962,0.180952381,0.419888549,0.176306394,5
0,1,631.5,756,4.898979486,4,16,"(630, 754, 634, 759)",23119.344,4.449489743,0.16599247,0.137931034,0.325659579,0.106054162,6
0,2,637.5,806.7142857,4.208834246,4.120630029,14,"(636, 805, 640, 809)",15651.322,4.164732138,0.11237351,0.120689655,0.304818079,0.092914061,6
0,3,718.6153846,440.3846154,4.318667338,3.679464844,13,"(717, 439, 721, 443)",12202.501,3.999066091,0.08761163,0.112068966,0.292692928,0.08566915,6
0,4,722,916,5.089672082,5.089672082,21,"(720, 914, 725, 919)",22180.523,5.089672082,0.15925193,0.181034483,0.37251473,0.138767224,6
0,8,795.8181818,789.3939394,7.12938785,5.906535707,33,"(793, 787, 800, 793)",35932.156,6.517961778,0.257986,0.284482759,0.47705171,0.227578334,6
0,11,838.2857143,811,3.023715784,2.799416849,7,"(837, 810, 840, 813)",8076.1924,2.911566316,0.057985518,0.060344828,0.213098471,0.045410958,6
0,12,838.125,1166.875,3.464101615,2.738612788,8,"(837, 1166, 840, 1169)",6990.111,3.101357201,0.050187662,0.068965517,0.226989327,0.051524154,6
0,13,841.4857143,787.3,10.71501908,8.524047539,70,"(838, 782, 847, 793)",79154.95,9.619533311,0.5683175,0.603448276,0.704056724,0.49569587,6
0,15,860.8265306,743.6428571,14.99542447,12.33059342,98,"(856, 737, 869, 751)",109931.78,13.66300894,0.7892892,0.844827586,1,1,6
0,18,864.34375,752.125,7.256232981,5.630848775,32,"(861, 749, 868, 756)",38816.33,6.443540878,0.27869383,0.275862069,0.47160482,0.222411107,6
0,20,867.2857143,246,3.023715784,2.799416849,7,"(866, 245, 869, 248)",7327.0723,2.911566316,0.05260698,0.060344828,0.213098471,0.045410958,6
0,26,942.4752475,672.2970297,12.70615522,10.26497998,101,"(937, 666, 948, 680)",125739.34,11.4855676,0.90278447,0.870689655,0.840632371,0.706662783,6
0,28,939,1028.714286,3.023715784,2.799416849,7,"(938, 1028, 941, 1031)",8413.848,2.911566316,0.06040982,0.060344828,0.213098471,0.045410958,6
0,29,942.2307692,711.2307692,6.104245052,5.473310447,26,"(940, 709, 946, 715)",30167.805,5.78877775,0.21659908,0.224137931,0.423682497,0.179506859,6
0,35,978.8095238,630.9047619,5.637580414,4.727494722,21,"(976, 629, 982, 634)",24026.934,5.182537568,0.17250879,0.181034483,0.379311584,0.143877278,6
0,36,979.5116279,646.3255814,7.875110399,6.995397325,43,"(976, 643, 984, 651)",54358.227,7.435253862,0.39028168,0.370689655,0.544188611,0.296141245,6
0,39,995.3793103,602.5,13.38409166,11.10196938,116,"(990, 597, 1003, 609)",139279.47,12.24303052,1,1,0.896071325,0.802943819,6
0,41,1014.434783,562.7391304,5.885696102,5.024456174,23,"(1012, 560, 1018, 566)",25199.35,5.455076138,0.18092652,0.198275862,0.399258769,0.159407565,6
0,1,245.2222222,506.5,5.258737585,4.268749492,18,"(243, 505, 248, 509)",13366.072,4.763743538,0.6654991,0.818181818,0.909504567,0.827198558,7
0,2,247.5,553,4.898979486,4,16,"(246, 551, 250, 556)",11732.071,4.449489743,0.5841419,0.727272727,0.84950653,0.721661345,7
0,3,325,472,5.089672082,5.089672082,21,"(323, 470, 328, 475)",20084.283,5.089672082,1,0.954545455,0.971731574,0.944262251,7
0,4,339,646.2857143,3.023715784,2.799416849,7,"(338, 645, 341, 648)",6153.252,2.911566316,0.3063715,0.318181818,0.555882751,0.309005633,7
0,5,347.2222222,393.5,5.258737585,4.268749492,18,"(345, 392, 350, 396)",17336.932,4.763743538,0.8632089,0.818181818,0.909504567,0.827198558,7
0,7,394.9090909,412.0909091,5.502816709,4.972652484,22,"(393, 410, 398, 415)",18079.422,5.237734597,0.9001776,1,1,1,7
0,10,459.75,293.5625,4.999309772,3.993044178,16,"(458, 292, 463, 296)",14388.656,4.496176975,0.71641374,0.727272727,0.858420161,0.736885173,7
0,12,517.5,162,3.464101615,2.828427125,8,"(516, 161, 520, 164)",5904.679,3.14626437,0.29399502,0.363636364,0.600691828,0.360830672,7
0,1,587.7058824,857.6176471,7.127582531,6.102383941,34,"(585, 855, 592, 861)",36871.76,6.614983236,0.35070905,0.478873239,0.694279944,0.482024641,8
0,4,603.5490196,898.9411765,8.669799486,7.469912338,51,"(600, 896, 608, 903)",61396.89,8.069855912,0.583982,0.718309859,0.846977069,0.717370155,8
0,7,630.8461538,734.5384615,4.36166456,3.756591133,13,"(629, 733, 633, 737)",16653.49,4.059127847,0.15840115,0.183098592,0.42602845,0.18150024,8
0,8,634.1785714,892.6071429,6.372167004,5.540903367,28,"(632, 890, 638, 896)",34215.08,5.956535186,0.32543975,0.394366197,0.625172093,0.390840146,8
0,11,664.9354839,850.5806452,6.637233433,5.927167578,31,"(662, 848, 669, 854)",41761.133,6.282200506,0.3972147,0.436619718,0.659352512,0.434745735,8
0,13,733.5882353,836.8823529,5.181899763,4.04120104,17,"(732, 835, 736, 840)",18174.664,4.611550402,0.17286994,0.23943662,0.484008325,0.234264059,8
0,16,747.4255319,723.9574468,8.3644495,7.095337635,47,"(744, 721, 752, 728)",61475.508,7.729893568,0.58472973,0.661971831,0.811296096,0.658201355,8
0,17,749.5111111,865.4222222,8.452303449,6.780185254,45,"(746, 862, 754, 870)",68556.75,7.616244352,0.65208364,0.633802817,0.799367967,0.638989147,8
0,18,758.2816901,821.1408451,9.908908,9.146757637,71,"(754, 817, 764, 826)",105134.91,9.527832818,1,1,1,1,8
0,22,766.2285714,759.6285714,7.213127328,6.142273915,35,"(763, 757, 770, 763)",50614.715,6.677700621,0.48142636,0.492957746,0.700862489,0.491208228,8
0,23,765.6666667,807.3888889,4.853406593,4.786813162,18,"(764, 805, 769, 810)",25465.217,4.820109877,0.24221466,0.253521127,0.505897823,0.255932607,8
0,24,767.5,751.5,3.829708431,3.829708431,12,"(766, 750, 770, 754)",13240.489,3.829708431,0.12593809,0.169014085,0.401949583,0.161563468,8
0,26,794.0909091,708.0909091,5.502816709,4.972652484,22,"(792, 706, 797, 711)",26578.04,5.237734597,0.2527994,0.309859155,0.549729902,0.302202965,8
0,27,798,767.7142857,3.023715784,2.799416849,7,"(797, 767, 800, 770)",7510.6626,2.911566316,0.071438335,0.098591549,0.30558537,0.093382418,8
0,28,802.4117647,1332.117647,5.181899763,4.04120104,17,"(801, 1330, 805, 1335)",14998.094,4.611550402,0.1426557,0.23943662,0.484008325,0.234264059,8
0,31,818.875,666.875,3.464101615,2.738612788,8,"(818, 666, 821, 669)",8840.174,3.101357201,0.0840841,0.112676056,0.325504998,0.105953504,8
0,36,839.1333333,746.4666667,4.618802154,4.061745656,15,"(837, 745, 842, 749)",16735.365,4.340273905,0.15917991,0.211267606,0.455536321,0.207513339,8
0,38,853.328125,1250.953125,9.576255974,8.748571827,64,"(850, 1246, 859, 1256)",63072.355,9.162413901,0.5999183,0.901408451,0.961647216,0.924765367,8
0,39,899.6142857,572.0714286,10.03479681,8.876016517,70,"(895, 568, 905, 577)",100139.484,9.455406666,0.9524856,0.985915493,0.992398465,0.984854714,8
0,43,949.1111111,148.962963,6.65146497,5.162329525,27,"(947, 146, 952, 153)",29892.098,5.906897248,0.28432134,0.38028169,0.61996231,0.384353266,8
0,1,315.6428571,1157.214286,4.74287342,3.686025552,14,"(314, 1155, 318, 1160)",12309.272,4.214449486,0.13651176,0.181818182,0.417028325,0.173912624,9
0,2,378,1010.5,4.898979486,4,16,"(376, 1009, 381, 1013)",15471.458,4.449489743,0.17158088,0.207792208,0.440286035,0.193851793,9
0,4,562.2857143,904.5,4.208834246,4.120630029,14,"(561, 903, 565, 907)",16421.766,4.164732138,0.18211995,0.181818182,0.412108692,0.169833574,9
0,6,608.9393939,1201.848485,6.846382455,6.206379792,33,"(606, 1199, 613, 1206)",41639.473,6.526381124,0.46178827,0.428571429,0.64579865,0.417055896,9
0,8,736.9354839,586.3548387,6.813781933,5.792730483,31,"(734, 584, 741, 590)",44798.04,6.303256208,0.49681726,0.402597403,0.623719987,0.389026622,9
0,10,746.125,600.125,3.464101615,2.738612788,8,"(745, 599, 748, 602)",8925.739,3.101357201,0.09898784,0.103896104,0.306885586,0.094178763,9
0,13,789.1627907,585.4651163,8.061618871,6.898555938,43,"(786, 582, 794, 590)",57723.586,7.480087404,0.6401636,0.558441558,0.740169821,0.547851364,9
0,14,792.7619048,810.3492063,9.931851154,8.052911793,63,"(788, 807, 798, 815)",87472.87,8.992381473,0.97008777,0.818181818,0.889814386,0.791769642,9
0,16,823.5,740,3.464101615,2.828427125,8,"(822, 739, 826, 742)",9849.374,3.14626437,0.1092311,0.103896104,0.311329241,0.096925896,9
0,20,854.4,868.6,3.959797975,3.346640106,10,"(853, 867, 857, 871)",11807.822,3.65321904,0.1309506,0.12987013,0.361493434,0.130677503,9
0,21,870.9166667,671.0277778,6.92820323,6.590303389,36,"(868, 668, 875, 675)",44746.367,6.75925331,0.4962442,0.467532468,0.668841825,0.447349387,9
0,22,883.925,650.975,7.905913595,6.371540648,40,"(881, 648, 888, 655)",47727.07,7.138727121,0.5293007,0.519480519,0.706391528,0.498988991,9
0,23,887.7605634,740.5070423,10.65118967,8.561311731,71,"(883, 737, 893, 745)",77260.58,9.606250702,0.8568319,0.922077922,0.950557992,0.903560495,9
0,25,920.9480519,608.0909091,11.18273651,9.029077571,77,"(916, 603, 927, 613)",76789.89,10.10590704,0.8516119,1,1,1,9
0,26,918.1818182,376.1818182,3.813850357,3.67254725,11,"(917, 375, 921, 379)",15233.607,3.743198804,0.16894309,0.142857143,0.370397114,0.137194022,9
0,28,942.1267606,749.1971831,10.06113054,9.005871935,71,"(938, 745, 948, 754)",90170.055,9.533501235,1,0.922077922,0.943359284,0.889926739,9
0,31,1163.882353,643.6470588,5.363103387,4.238368278,17,"(1162, 641, 1167, 647)",18203.885,4.800735832,0.20188393,0.220779221,0.475042548,0.225665422,9
0,32,1165.615385,663.6153846,4.318667338,3.679464844,13,"(1164, 662, 1168, 666)",17529.953,3.999066091,0.19440992,0.168831169,0.395715701,0.156590916,9
