,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
394,0,1392,618.1538461538462,547.5192307692307,8.359036339208616,4,4.0,0.8363636363636363,16607.73046875,7404.12203348428,50.26548245743669,25.132741228718345,320.0,1005.309649148734,9203.60843526572,3,0.21959436235439822,0.6557377049180327
395,0,1393,618.5333333333333,571.3111111111111,9.596801059361914,4,3.7,0.7307692307692307,15295.125,5321.737734228373,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,9973.387265771627,3,0.237960972866765,0.6065573770491803
402,0,1408,623.5897435897435,178.07692307692307,8.02579732152935,4,3.2,0.7674418604651163,14746.822265625,4690.372213734547,32.169908772759484,20.10619298297468,256.0,804.247719318987,10056.450051890452,3,0.23994281723589872,0.5245901639344263
403,0,1412,624.4883720930233,846.7209302325581,8.287244959450737,4,3.2,0.7391304347826086,13943.041015625,3125.753115190193,32.169908772759484,20.10619298297468,256.0,804.247719318987,10817.287900434809,3,0.2580960995469977,0.5245901639344263
404,0,1415,626.7555555555556,424.5777777777778,8.880263994780881,4,3.7,0.7307692307692307,16672.37109375,5590.897386074066,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,11081.473707675934,3,0.26439946569868056,0.6065573770491803
406,0,1419,629.258064516129,160.38709677419354,6.741070998980903,4,3.2,0.8378378378378378,13642.84375,3683.886046808213,32.169908772759484,20.10619298297468,256.0,804.247719318987,9958.957703191789,3,0.23761668935926256,0.5245901639344263
407,0,1421,629.5714285714286,441.45238095238096,8.12868163378432,4,3.2,0.7555555555555555,12705.228515625,4243.992396369576,32.169908772759484,20.10619298297468,256.0,804.247719318987,8461.236119255424,3,0.2018816601560748,0.5245901639344263
408,0,1427,632.8474576271186,318.5593220338983,10.391884894514988,4,4.2,0.7058823529411765,19440.751953125,5813.035728156567,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,13627.716224968432,3,0.32515177887206914,0.6885245901639344
411,0,1441,635.2857142857143,598.1785714285714,7.032669884834306,4,2.9000000000000004,0.8275862068965517,8329.3671875,2967.971473652869,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5361.3957138471305,3,0.12792072602748372,0.4754098360655738
415,0,1458,641.5762711864406,366.4915254237288,10.7595335721516,4,4.5,0.7297297297297297,22261.98046875,6310.0685388073325,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,15951.911929942667,3,0.38060614521223307,0.7377049180327868
416,0,1460,641.5116279069767,326.48837209302326,8.315232041894358,4,4.0,0.803921568627451,16502.1953125,6164.261787738651,50.26548245743669,25.132741228718345,320.0,1005.309649148734,10337.933524761347,3,0.2466588986699522,0.6557377049180327
417,0,1463,641.95,778.1,7.441597291094978,4,3.2,0.7111111111111111,13855.0703125,3188.0839798785746,32.169908772759484,20.10619298297468,256.0,804.247719318987,10666.986332621424,3,0.254509965132763,0.5245901639344263
418,0,1465,643.6481481481482,341.6666666666667,8.721086962133022,4,4.2,0.734375,18261.92578125,6335.990084990859,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,11925.93569625914,3,0.2845479860556423,0.6885245901639344
420,0,1469,643.3513513513514,739.0,7.89531676204538,4,3.2,0.85,15477.552734375,4529.150332930032,32.169908772759484,20.10619298297468,256.0,804.247719318987,10948.402401444968,3,0.2612244383335999,0.5245901639344263
421,0,1483,648.109375,392.015625,11.817606275973327,4,4.300000000000001,0.7123287671232876,20256.3203125,7878.473500242457,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12377.846812257543,3,0.29533040189357435,0.7049180327868853
425,0,1493,651.2,744.4666666666667,6.571448288130013,4,3.2,0.8108108108108109,13898.3056640625,4148.26955237845,32.169908772759484,20.10619298297468,256.0,804.247719318987,9750.03611168405,3,0.2326319049682387,0.5245901639344263
370,0,1300,584.6271186440678,336.5762711864407,9.451056010208625,4,4.300000000000001,0.7647058823529411,25402.89453125,5651.800515707582,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,19751.094015542418,3,0.4712530880307476,0.7049180327868853
365,0,1291,589.4590163934427,398.6885245901639,9.468917321200266,3,4.5,0.7808219178082192,23581.76171875,6354.925805881619,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,17226.83591286838,3,0.4110253140686729,0.7377049180327868
214,0,835,414.4358974358975,307.6794871794872,10.409376911745705,4,5.0,0.8068181818181818,36393.81640625,8721.42954363674,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,27672.38686261326,3,0.6602519208265669,0.8196721311475409
445,0,1592,690.92,397.0,9.198367820612592,3,4.0,0.7368421052631579,17194.08203125,5900.276020848192,50.26548245743669,25.132741228718345,320.0,1005.309649148734,11293.806010401808,3,0.2694656282752703,0.6557377049180327
