LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Probability stuck,Probability diffusive
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,P stuck,P diffusive
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID64626,64626,246,15.225665092468262,5.309162354252298,17.342462429047735,0.0,14.38928610086441,296,0.75,1,,545.9459459459459,541.0,482.0,636.0,20200.0,39.94089101127784,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.01603711669482275,0.4314978221077021,0.004376455816649096,0.041244770189054494,,
ID64435,64435,246,14.862375259399414,5.417298099904678,17.16464774373314,0.0,13.854549117386341,285,0.75,1,,549.0540540540541,542.0,464.0,687.0,20315.0,49.51596035956822,11260.891891891892,11575.0,7488.0,14271.0,416653.0,1919.7035619505855,0.022862583159387436,0.49568742060550297,0.026149276439793732,0.2989632094356194,,
ID64376,64376,246,15.5723876953125,5.162581007801075,17.504867018432595,0.0,13.417037039995193,276,0.75,1,,549.3783783783783,543.0,487.0,752.0,20327.0,52.49886313655402,10093.297297297297,10361.0,6104.0,14258.0,373452.0,2218.5631844965797,0.03041868277506193,0.617843296943433,0.013760585344233882,0.12350733919755895,,
ID64504,64504,246,17.221363067626953,5.194750769068802,17.363914536686575,0.0,13.951774023473263,287,0.75,1,,544.0540540540541,533.0,487.0,640.0,20130.0,45.07890979280786,10093.297297297297,10361.0,6104.0,14258.0,373452.0,2218.5631844965797,0.020798043363145162,0.4917918106567816,0.013760585344233882,0.12350733919755895,,
ID64315,64315,246,13.214080810546875,5.371556630827914,17.41912167961991,0.0,13.271199680864811,273,0.75,1,,544.3783783783783,529.0,471.0,711.0,20142.0,48.87816562714967,11150.054054054053,11634.0,7247.0,14258.0,412552.0,1839.0343170314193,0.019110808830612284,0.4177088001334326,0.038683807308253076,0.4516094127274615,,
ID64635,64635,246,16.591079711914062,5.128658678226793,17.267120648388754,0.0,14.583735913038254,300,0.75,1,,554.4594594594595,547.0,477.0,701.0,20515.0,49.81219986364039,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.027611310390334428,0.5981666740791154,0.004376455816649096,0.041244770189054494,,
ID64573,64573,246,14.931314468383789,5.181162835898147,17.316306092559085,0.0,14.097611382603645,290,0.75,1,,557.8918918918919,551.0,488.0,671.0,20642.0,46.56523726259023,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.03432329781949562,0.7951534117115675,0.004376455816649096,0.041244770189054494,,
ID64447,64447,246,16.700098037719727,5.294936890961463,17.25515128948672,0.0,13.562874399125576,279,0.75,1,,559.5405405405405,551.0,479.0,754.0,20703.0,52.78288579675266,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.023959062790916034,0.4960844962247629,0.004376455816649096,0.041244770189054494,,
ID64321,64321,250,21.138263702392578,14.65868451804455,33.92697537192938,0.0,13.271199680864811,273,0.75,1,,548.027027027027,536.0,475.0,656.0,20277.0,47.81357692264968,8881.864864864865,8858.0,6187.0,12748.0,328629.0,1438.063090915504,0.03271289828443375,0.7261396647965043,-6.41050392215892E-4,-0.007923679142961713,,
ID64418,64418,250,12.007946968078613,14.341222024046411,34.023830784046424,0.0,13.75732421129942,283,0.75,1,,535.2162162162163,529.0,487.0,706.0,19803.0,44.19473016292977,8521.54054054054,8541.0,6187.0,11146.0,315297.0,1283.607775732884,0.021456664600123975,0.5087811805287954,-0.008738179186595734,-0.11704377961369568,,
ID64578,64578,250,17.80733871459961,14.148977448624354,34.12727966876844,0.0,14.097611382603645,290,0.75,1,,557.081081081081,549.0,493.0,644.0,20612.0,41.3228335981038,7595.135135135135,7460.0,4310.0,10506.0,281020.0,1573.8205665436185,0.03399353696157118,0.8864144787456871,-0.01046414542135232,-0.10206633402108582,,
ID64389,64389,250,16.70644187927246,14.277133130954773,33.716294430052834,0.0,13.319812133908272,274,0.75,1,,545.8648648648649,542.0,460.0,663.0,20197.0,46.71792551649275,9101.081081081082,9244.0,7205.0,11166.0,336740.0,1102.9684537238181,0.02841360725538808,0.6456395795505396,-0.010361306560808126,-0.1727817005367256,,
ID64453,64453,250,14.160418510437012,14.148515151927706,33.952594868428086,0.0,13.562874399125576,279,0.75,1,,540.027027027027,534.0,470.0,651.0,19981.0,46.09439980836819,8243.648648648648,8334.0,5451.0,10506.0,305015.0,1284.9113721320373,0.0240576856169358,0.5504612486260082,-0.0030574021814684382,-0.03935126648384499,,
ID64550,64550,250,14.995938301086426,14.033516524820731,34.15511726022136,0.0,14.000386476516724,288,0.75,1,,539.3243243243244,530.0,473.0,630.0,19955.0,38.72341672687216,7595.135135135135,7460.0,4310.0,10506.0,281020.0,1573.8205665436185,0.026384651411914446,0.7160569190922793,-0.01046414542135232,-0.10206633402108582,,
