,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,52,832.3243243,833.1216216,11.02617142,8.571864876,74,"(827, 829, 838, 838)",102510.8,9.799018147,0.80528545,0.795698925,0.858329931,0.73673027,6
0,59,889.9247312,855.8494624,11.11014991,10.67927063,93,"(885, 851, 896, 862)",127297.47,10.89471027,1,1,0.954305398,0.910698793,6
0,61,895.5319149,650.6170213,8.450776742,7.217593274,47,"(892, 647, 900, 655)",64138.07,7.834185008,0.503844,0.505376344,0.686223392,0.470902544,6
0,62,902.7878788,685.6969697,8.332067611,6.868432407,33,"(899, 683, 907, 691)",39499.22,7.600250009,0.3102907,0.35483871,0.665732216,0.443199383,6
0,63,900.7222222,782.8333333,5.289139068,4.283222569,18,"(899, 781, 904, 786)",21877.646,4.786180818,0.17186238,0.193548387,0.419238151,0.175760627,6
0,67,918.5,756.7142857,4.208834246,4.120630029,14,"(917, 755, 921, 759)",18069.69,4.164732138,0.14194854,0.150537634,0.364803309,0.133081454,6
0,69,926.3428571,741.2428571,10.5559949,9.235222741,70,"(922, 737, 932, 748)",83042.74,9.895608819,0.65235186,0.752688172,0.866790642,0.751326017,6
0,70,926.7567568,752.9189189,7.10031549,6.673354274,37,"(924, 750, 931, 757)",43746.508,6.886834882,0.34365577,0.397849462,0.603241714,0.363900566,6
0,73,933.6153846,690.6153846,4.318667338,3.679464844,13,"(932, 689, 936, 693)",16501.613,3.999066091,0.12963033,0.139784946,0.350292047,0.122704518,6
0,75,942.5897436,624.9487179,11.06367047,9.080192546,78,"(938, 620, 948, 631)",92109.85,10.07193151,0.7235796,0.838709677,0.882235357,0.778339225,6
0,77,945.8055556,822.9166667,7.568004919,6.092648298,36,"(943, 820, 950, 827)",45862.95,6.830326608,0.3602817,0.387096774,0.598291959,0.357953268,6
0,78,950.5416667,788.6458333,8.467225985,7.434471191,48,"(947, 784, 955, 793)",64646.812,7.950848588,0.5078405,0.516129032,0.696442359,0.48503196,6
0,84,960.5,535.5,3.829708431,3.829708431,12,"(959, 534, 963, 538)",13415.359,3.829708431,0.10538591,0.129032258,0.335457423,0.112531682,6
0,85,966.175,792.4375,12.41140693,10.42134723,80,"(961, 788, 973, 799)",95149.14,11.41637708,0.74745506,0.860215054,1,1,6
0,87,970,598.2857143,3.023715784,2.799416849,7,"(969, 597, 972, 600)",8588.5205,2.911566316,0.067468114,0.075268817,0.255034176,0.065042431,6
0,90,980,667.8,3.919183588,3.098386677,10,"(979, 666, 982, 670)",12868.855,3.508785133,0.101092786,0.107526882,0.30734664,0.094461957,6
0,91,986.9342105,727.2631579,10.29936198,9.575657993,76,"(982, 723, 993, 733)",107052.61,9.937509984,0.84096414,0.817204301,0.87046091,0.757702196,6
0,96,1007.793103,657.9482759,9.01697557,8.364594817,58,"(1004, 654, 1013, 663)",76744.6,8.690785194,0.6028761,0.623655914,0.761255969,0.57951065,6
0,97,1018.647059,795.3529412,9.198710728,7.207397685,51,"(1016, 791, 1023, 800)",63498.66,8.203054206,0.49882108,0.548387097,0.718533923,0.516290998,6
0,107,1070.1,641.2,7.425600523,6.874624126,40,"(1067, 638, 1074, 645)",50008.21,7.150112324,0.3928453,0.430107527,0.626303097,0.39225557,6
0,5,659,576,3.265986324,3.265986324,9,"(658, 575, 661, 578)",13147.631,3.265986324,0.08094104,0.091836735,0.291424831,0.084928432,7
0,6,672,477.7352941,7.062744009,6.082478096,34,"(669, 475, 676, 481)",44440.145,6.572611053,0.2735878,0.346938776,0.586475837,0.343953908,7
0,28,813.3877551,445.255102,12.08002275,10.33389659,98,"(808, 440, 820, 451)",162434.67,11.20695967,1,1,1,1,7
0,36,833.6153846,561.3846154,4.318667338,3.679464844,13,"(832, 560, 836, 564)",19485.672,3.999066091,0.119960055,0.132653061,0.356837734,0.127333168,7
0,37,841.8157895,459.5526316,7.620031219,6.33124859,38,"(838, 457, 846, 463)",50587.035,6.975639904,0.31143004,0.387755102,0.622438209,0.387429324,7
0,38,840.6666667,823.7777778,3.781743128,3.130045422,9,"(839, 823, 843, 826)",12721.581,3.455894275,0.07831814,0.091836735,0.308370368,0.095092284,7
0,41,846.3285714,583.9285714,10.82909921,8.34994795,70,"(842, 579, 851, 590)",100097.74,9.589523579,0.6162338,0.714285714,0.855675747,0.732180983,7
0,43,857.88,428.84,8.709319419,7.309429202,50,"(854, 425, 863, 433)",67814.28,8.00937431,0.4174865,0.510204082,0.714678606,0.51076551,7
0,45,864.6363636,535.5454545,4,3.468869823,11,"(863, 534, 867, 538)",15228.799,3.734434912,0.093753375,0.112244898,0.333224623,0.111038649,7
0,50,873.5,992.5,3.829708431,3.829708431,12,"(872, 991, 876, 995)",15714.926,3.829708431,0.09674613,0.12244898,0.341725905,0.116776594,7
0,51,877.3142857,416.3428571,10.57094758,8.49837715,70,"(873, 412, 884, 421)",98897.02,9.534662365,0.60884184,0.714285714,0.850780466,0.723827401,7
0,53,879.92,461.8,5.982402638,5.301741099,25,"(878, 459, 883, 465)",29632.645,5.642071868,0.18242808,0.255102041,0.503443578,0.253455436,7
0,56,896.4146341,407.1219512,7.757319117,6.732243889,41,"(893, 404, 901, 411)",62049.875,7.244781503,0.38199896,0.418367347,0.646453786,0.417902497,7
0,59,915.1052632,346.3684211,7.533511764,6.6056046,38,"(911, 343, 919, 350)",44939.46,7.069558182,0.27666175,0.387755102,0.630818562,0.397932058,7
0,62,931.2903226,947.1290323,7.020309964,5.58254241,31,"(929, 944, 935, 951)",42040.293,6.301426187,0.25881353,0.316326531,0.562277939,0.316156481,7
0,63,931.3846154,768.6153846,4.318667338,3.679464844,13,"(930, 767, 934, 771)",15815.368,3.999066091,0.097364485,0.132653061,0.356837734,0.127333168,7
0,64,931.875,777.875,3.464101615,2.738612788,8,"(931, 777, 934, 780)",9248.859,3.101357201,0.05693895,0.081632653,0.27673493,0.076582222,7
0,66,937.7,483.7,4,3.14960315,10,"(936, 482, 940, 486)",11718.429,3.574801575,0.07214241,0.102040816,0.318980498,0.101748558,7
0,67,946,400,3.265986324,3.265986324,9,"(945, 399, 948, 402)",13632.959,3.265986324,0.083928876,0.091836735,0.291424831,0.084928432,7
0,70,999.5333333,1009.133333,4.618802154,4.061745656,15,"(998, 1007, 1002, 1012)",18406.592,4.340273905,0.113316886,0.153061224,0.387283798,0.14998874,7
0,72,1025.772727,563.7727273,5.969620058,4.727272727,22,"(1024, 562, 1029, 567)",31325.129,5.348446393,0.19284755,0.224489796,0.477243298,0.227761166,7
0,73,1055.185185,825.4074074,6.012333004,5.739665371,27,"(1053, 823, 1059, 829)",38482.37,5.875999187,0.23690984,0.275510204,0.524316975,0.27490829,7
0,77,1072.862745,810.4705882,9.07088704,7.270125538,51,"(1069, 807, 1078, 815)",79719.97,8.170506289,0.49078172,0.520408163,0.729056455,0.531523315,7
0,78,1118.62,599.52,8.521421846,7.617648569,50,"(1115, 596, 1123, 604)",60844.79,8.069535208,0.37458006,0.510204082,0.720046779,0.518467364,7
0,80,1184,348.2857143,3.023715784,2.799416849,7,"(1183, 347, 1186, 350)",8128.0854,2.911566316,0.050039105,0.071428571,0.259799839,0.067495956,7
0,1,408.5263158,1009.157895,7.692137224,6.423640548,38,"(405, 1006, 413, 1013)",54172.266,7.057888886,0.5262091,0.603174603,0.787702432,0.620475122,8
0,2,437.7142857,987.5,4.208834246,4.120630029,14,"(436, 986, 440, 990)",24890.762,4.164732138,0.24177954,0.222222222,0.464808909,0.216047322,8
0,3,450.8095238,953.1428571,5.316632772,4.992156306,21,"(449, 951, 454, 956)",35684.92,5.154394539,0.34662998,0.333333333,0.575261127,0.330925364,8
0,9,543.7037037,947.7777778,6.090770004,5.640819487,27,"(541, 945, 547, 951)",41117.85,5.865794746,0.39940342,0.428571429,0.654657627,0.428576608,8
0,11,583.5,754,4.898979486,4,16,"(582, 752, 586, 757)",24163.742,4.449489743,0.23471755,0.253968254,0.496589554,0.246601185,8
0,12,598,741.5,7.392571411,5.754528114,34,"(595, 739, 602, 745)",46841.77,6.573549762,0.4550034,0.53968254,0.733647302,0.538238363,8
0,14,643.5,683,7.392571411,5.754528114,34,"(641, 680, 647, 687)",56225.85,6.573549762,0.5461569,0.53968254,0.733647302,0.538238363,8
0,20,726.3529412,559,4.752708206,4.538188593,17,"(724, 557, 729, 562)",23890.168,4.6454484,0.23206015,0.26984127,0.518459707,0.268800468,8
0,22,737.5,579.5,3.829708431,3.829708431,12,"(736, 578, 740, 582)",17315.775,3.829708431,0.16819896,0.19047619,0.427418268,0.182686376,8
0,27,835.5806452,1018.451613,6.425754631,6.06314329,31,"(833, 1016, 839, 1022)",46152.94,6.244448961,0.4483124,0.492063492,0.696917692,0.48569427,8
0,31,846.1333333,906.5333333,4.618802154,4.061745656,15,"(844, 905, 849, 909)",23487.475,4.340273905,0.22814853,0.238095238,0.484400416,0.234643763,8
0,34,858.0909091,1023.454545,7.119797623,5.84062407,33,"(855, 1021, 862, 1027)",49215.664,6.480210846,0.47806254,0.523809524,0.723230123,0.523061811,8
0,40,914.5277778,720.8333333,7.990712119,6.264765379,36,"(912, 718, 919, 726)",51205.305,7.127738749,0.49738917,0.571428571,0.795498093,0.632817216,8
0,41,941.9365079,993.3492063,9.442475536,8.477715125,63,"(938, 990, 947, 998)",102948.17,8.96009533,1,1,1,1,8
0,14,314.4545455,627.6363636,4,3.468869823,11,"(313, 626, 317, 630)",8642.735,3.734434912,0.12573227,0.125,0.350104921,0.122573456,9
0,23,432.65625,456.65625,7.132124365,5.775080263,32,"(430, 454, 436, 461)",25951.297,6.453602314,0.37753275,0.363636364,0.605028065,0.36605896,9
