,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
11,0,108,376.1363636363636,276.0681818181818,107.42732238769531,9.15267748811673,2,4.0,0.7547169811320755,8097.5712890625,1645.8882177467458,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6451.683071315754,2
21,0,143,402.3,526.3333333333334,107.42732238769531,7.540815115952892,2,3.0,0.7352941176470589,4974.35107421875,1508.7565568711725,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3465.5945173475775,2
24,0,146,403.53125,563.6875,107.42732238769531,6.636097323074277,2,3.2,0.725,6215.57373046875,1140.601422456326,32.169908772759484,20.106192982974676,256.0,804.247719318987,5074.972308012424,2
28,0,167,424.09090909090907,415.20454545454544,107.42732238769531,8.855568729138998,2,4.0,0.7222222222222222,7405.423828125,1722.10203226679,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,5683.32179585821,2
48,0,249,487.71153846153845,731.2115384615385,107.42732238769531,9.74677665607605,2,4.0,0.711864406779661,8393.935546875,1558.0388705180958,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6835.896676356904,2
55,0,283,514.2222222222222,540.1851851851852,107.42732238769531,6.795119447084556,2,3.0,0.75,4492.75244140625,1511.6948541931743,28.274333882308138,18.84955592153876,240.0,753.9822368615504,2981.0575872130757,2
67,0,314,542.3225806451613,480.35483870967744,107.42732238769531,6.657870331676491,2,3.0,0.7647058823529411,5532.4248046875,884.0447888611816,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4648.380015826318,2
71,0,332,557.4,516.6,107.42732238769531,8.63285813566547,2,3.2,0.7111111111111111,5990.6171875,1635.591990238987,32.169908772759484,20.106192982974676,256.0,804.247719318987,4355.025197261013,2
80,0,379,607.258064516129,573.3870967741935,107.42732238769531,6.741070998980903,2,3.2,0.8378378378378378,6637.1259765625,1898.5307893543504,32.169908772759484,20.106192982974676,256.0,804.247719318987,4738.59518720815,2
96,0,432,682.4411764705883,595.5882352941177,107.42732238769531,7.1494913622495995,2,3.2,0.7317073170731707,6269.61474609375,1517.2684825039469,32.169908772759484,20.106192982974676,256.0,804.247719318987,4752.346263589803,2
106,0,477,743.9,622.0333333333333,107.42732238769531,7.78077009500282,2,2.9000000000000004,0.71875,5444.09228515625,962.6662033202592,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4481.426081835991,2
3,0,28,249.74074074074073,373.18518518518516,107.42732238769531,6.7281708317980495,3,2.9000000000000004,0.7333333333333333,4052.874267578125,1226.3928774395026,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,2826.4813901386224,2
9,0,108,372.35555555555555,568.1555555555556,107.42732238769531,9.133342560655779,3,3.7,0.7647058823529411,7416.4482421875,1534.763685670041,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5881.684556517459,2
18,0,155,400.1666666666667,354.462962962963,107.42732238769531,9.975745013508618,3,3.7,0.7368421052631579,8075.9892578125,1622.106474620523,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6453.882783191977,2
20,0,163,403.2903225806452,564.5483870967741,107.42732238769531,6.8575012356818705,3,3.0,0.7647058823529411,4799.630859375,917.6269901263695,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3882.0038692486305,2
