,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
142,0,468,619.8333333333334,629.1,101.15451049804688,7.167215962884667,0,3.0,0.7352941176470589,5209.0771484375,1071.5228224079474,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4137.554326029553,1
145,0,471,622.6046511627907,1065.6046511627908,101.15451049804688,8.340140701059678,0,3.7,0.7254901960784313,7747.9873046875,1476.5154924115632,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6271.471812275937,1
146,0,473,624.6111111111111,885.3888888888889,101.15451049804688,10.4828824511316,0,4.0,0.7457627118644068,9676.41015625,1676.7273075914418,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,7999.682848658558,1
148,0,475,624.2307692307693,807.0769230769231,101.15451049804688,8.389204571278496,0,3.7,0.8260869565217391,8292.0693359375,1786.2048781273188,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6505.864457810181,1
154,0,487,630.4814814814815,641.5185185185185,101.15451049804688,6.393607106635324,0,3.2,0.7297297297297297,5675.2978515625,1189.0171513669193,32.169908772759484,20.106192982974676,256.0,804.247719318987,4486.280700195581,1
157,0,496,636.3548387096774,909.483870967742,101.15451049804688,6.640965273390252,0,3.0,0.7647058823529411,5634.24609375,1266.2104148631915,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4368.0356788868085,1
160,0,501,640.1627906976744,943.6046511627907,101.15451049804688,8.197482287699156,0,4.2,0.7543859649122807,8436.37109375,2317.8163340685423,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,6118.554759681458,1
162,0,508,640.6818181818181,933.0,101.15451049804688,8.894459496636257,0,3.7,0.7450980392156863,8215.7822265625,2163.1444477150217,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6052.637778847478,1
163,0,510,643.2127659574468,1228.8085106382978,101.15451049804688,9.322791484959705,0,4.2,0.7627118644067796,10438.2275390625,2374.3984474434983,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,8063.829091619002,1
165,0,519,646.219512195122,721.4878048780488,101.15451049804688,8.126752519763066,0,4.0,0.8,7790.388671875,1761.5375298876315,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6028.8511419873685,1
