,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
134,0,390,714.1578947368421,738.921052631579,8.016631413951572,1,3.2,0.7441860465116279,9707.4658203125,1672.0841743890196,32.169908772759484,20.106192982974676,256.0,804.247719318987,8035.38164592348,2
135,0,391,716.5,337.1875,10.234894784016795,1,3.7,0.7222222222222222,12832.806640625,1970.3224641747784,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,10862.484176450222,2
137,0,394,718.0952380952381,619.5238095238095,8.743056649909622,1,3.7,0.7755102040816326,11874.3984375,2626.378061990108,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9248.020375509892,2
141,0,402,731.0208333333334,540.7916666666666,8.207194385461797,1,4.0,0.7321428571428571,11082.9228515625,2596.2110919621773,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,8486.711759600323,2
144,0,405,734.7741935483871,521.258064516129,7.481742458664134,1,3.0,0.7142857142857143,6975.35107421875,1389.95597726712,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5585.39509695163,2
145,0,409,742.0,753.8275862068965,7.276271965100854,1,2.9000000000000004,0.7419354838709677,6431.20751953125,1190.1609599823132,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5241.046559548937,2
148,0,417,755.7727272727273,547.6136363636364,8.400579404350585,1,3.7,0.7115384615384616,10777.00390625,2866.6262627765536,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7910.377643473446,2
149,0,421,764.575,693.125,8.016456460771796,1,3.7,0.7708333333333334,10298.76171875,2436.8963053822517,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7861.865413367748,2
151,0,424,768.0434782608696,650.8478260869565,7.809832838162957,1,3.7,0.75,12651.876953125,2842.0213075960055,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9809.855645528995,2
154,0,428,776.0983606557377,561.4918032786885,10.46260712390956,1,4.300000000000001,0.7428571428571429,14737.20703125,2078.5959313940257,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12658.611099855974,2
157,0,436,790.1621621621622,598.7027027027027,7.642262534371254,1,3.7,0.782608695652174,10790.712890625,3734.945518216118,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7055.767372408882,2
159,0,438,791.9565217391304,658.3695652173913,9.324404486440113,1,3.7,0.7169811320754716,11936.91796875,1971.104485024698,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9965.813483725302,2
160,0,440,794.7884615384615,634.8846153846154,9.517709876109771,1,3.7,0.7321428571428571,10428.8125,3383.752455645881,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7045.060044354119,2
0,0,6,191.4090909090909,213.5,8.917438693706,2,3.7,0.7115384615384616,9224.7197265625,1834.9799692069064,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7389.739757355594,2
2,0,10,208.33333333333334,178.06666666666666,7.539367118121088,2,3.2,0.7631578947368421,7918.0732421875,2616.8137982133776,32.169908772759484,20.106192982974676,256.0,804.247719318987,5301.259443974122,2
10,0,35,320.4516129032258,229.19354838709677,7.018683057325421,2,3.2,0.8378378378378378,8354.900390625,1319.9388104547397,32.169908772759484,20.106192982974676,256.0,804.247719318987,7034.96158017026,2
20,0,71,374.43589743589746,254.23076923076923,9.237873236289165,2,3.2,0.7272727272727273,9890.005859375,1106.6217204355635,32.169908772759484,20.106192982974676,256.0,804.247719318987,8783.384138939437,2
21,0,76,380.4193548387097,170.6451612903226,7.394315296490056,2,3.0,0.7142857142857143,8753.21875,834.9546460807323,28.274333882308138,18.84955592153876,240.0,753.9822368615504,7918.264103919268,2
36,0,139,471.82894736842104,634.2105263157895,11.391517902901395,2,5.1000000000000005,0.7741935483870968,19713.88671875,2932.0274641280994,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,16781.8592546219,2
39,0,148,485.02941176470586,646.0294117647059,11.500104336831074,2,5.0,0.7529411764705882,18886.900390625,2640.6961966040544,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,16246.204194020946,2
42,0,164,501.53846153846155,814.1794871794872,8.674391715958569,2,3.2,0.7272727272727273,9989.9931640625,1183.8120951029705,32.169908772759484,20.106192982974676,256.0,804.247719318987,8806.18106895953,2
44,0,168,503.6136363636364,686.5227272727273,8.481799764423924,2,3.2,0.723404255319149,10294.83203125,1504.1958747142926,32.169908772759484,20.106192982974676,256.0,804.247719318987,8790.636156535707,2
46,0,178,515.7674418604652,430.04651162790697,8.252077550224454,2,3.7,0.76,11850.6953125,1727.5772709678859,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,10123.118041532114,2
50,0,199,529.578947368421,426.70175438596493,9.621067869336285,2,4.2,0.78125,15066.9853515625,2115.4966836185195,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,12951.48866794398,2
54,0,206,533.5135135135135,660.2162162162163,8.28391281577493,2,3.2,0.7619047619047619,9341.7080078125,1952.2256210476626,32.169908772759484,20.106192982974676,256.0,804.247719318987,7389.482386764837,2
55,0,207,534.1904761904761,675.6666666666666,9.145275730897604,2,4.2,0.7368421052631579,12762.05859375,2296.817965292372,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,10465.240628457628,2
