LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID811750,811750,138,18.66807746887207,9.173318016445133,30.683832673249558,0.0,11.03046940267086,229,0.75,1,,548.4594594594595,528.0,474.0,714.0,20293.0,60.519783080775696,10695.756756756757,11084.0,7848.0,12567.0,395743.0,1324.0819755883992,,,0.031668059025589924,0.5563634931747407,0.09289763693947821,1.3732569940556811
ID811495,811495,138,32.73859786987305,9.538231371973216,30.940266813085643,0.0,9.344589799642563,194,0.75,1,,599.918918918919,583.0,493.0,825.0,22197.0,74.14452043077702,11407.486486486487,11467.0,9810.0,12748.0,422077.0,675.9450019385051,,,0.06293790011462848,0.9581816499204031,0.04852410095960029,1.5620239112490881
ID812028,812028,138,15.018888473510742,9.239086651481037,30.46734195220339,0.0,12.475509062409401,259,0.75,1,,549.8108108108108,543.0,471.0,646.0,20343.0,41.244419041878885,10338.432432432432,10789.0,7392.0,12402.0,382522.0,1304.6890975022138,,,0.02537717290316395,0.6598385332333987,0.06664568889919899,0.9902150784590458
ID811518,811518,138,29.883649826049805,9.17908110313194,30.880684254471397,0.0,9.58542974293232,199,0.75,1,,573.0540540540541,553.0,476.0,720.0,21203.0,68.81736939414591,10695.756756756757,11084.0,7848.0,12567.0,395743.0,1324.0819755883992,,,0.04595195648301932,0.7316776479604039,0.09289763693947821,1.3732569940556811
ID811768,811768,138,20.83970069885254,9.271479144129131,30.916885175491746,0.0,11.36764532327652,236,0.75,1,,555.7837837837837,539.0,470.0,703.0,20564.0,57.387152615243814,11103.108108108108,11237.0,8729.0,12567.0,410815.0,907.5889544337845,,,0.034807594745002786,0.6515317681857107,0.07161656894814723,1.6351569821894407
ID811511,811511,138,34.155723571777344,9.523801378682045,31.018549490181066,0.0,9.392757788300514,195,0.75,1,,597.8378378378378,590.0,507.0,778.0,22120.0,65.80337441259442,10830.945945945947,11237.0,7465.0,12748.0,400745.0,1339.4083052258966,,,0.05427924000494027,0.9354990110083101,0.07956505092614694,1.1919469455465124
ID811504,811504,138,14.81673526763916,9.151207623196077,30.767062883296312,0.0,9.537261754274368,198,0.75,1,,548.5405405405405,543.0,491.0,706.0,20296.0,44.043283379089836,10695.756756756757,11084.0,7848.0,12567.0,395743.0,1324.0819755883992,,,0.0285702312229567,0.6918928497211081,0.09289763693947821,1.3732569940556811
ID811761,811761,138,17.755876541137695,9.165781172997642,30.657309453685983,0.0,11.174973368644714,232,0.75,1,,540.8918918918919,540.0,472.0,640.0,20013.0,44.15615207154906,10860.054054054053,11084.0,7848.0,12567.0,401822.0,1179.4417452042003,,,0.02443738687135542,0.5844112817742666,0.08009003186679393,1.365538646882844
ID812019,812019,138,19.714515686035156,9.243271564919334,30.784653463754687,0.0,12.571845039725304,261,0.75,1,,557.081081081081,534.0,473.0,667.0,20612.0,53.20420742467354,10056.432432432432,10286.0,6991.0,12402.0,372088.0,1401.9217274976622,,,0.029793988166953937,0.6058717683289503,0.07028595609568558,0.9421474979024814
ID811407,811407,139,19.06479835510254,8.282976328083047,12.631765419076913,0.0,8.52573399245739,177,0.75,1,,553.8108108108108,551.0,472.0,720.0,20491.0,48.64316660804123,13058.891891891892,12646.0,9299.0,16996.0,483179.0,1878.1515999600333,,,0.0311543452826227,0.6879621393547386,0.04702214664308242,0.6245284989822762
ID811354,811354,139,14.335107803344727,8.868522224281861,13.150965027198032,0.0,8.622069969773293,179,0.75,1,,549.4864864864865,544.0,494.0,693.0,20331.0,45.17412092339154,12476.783783783783,12381.0,10057.0,16996.0,461641.0,1671.623281842053,,,0.02477902483766879,0.5882355739271325,0.03523290229556971,0.5080478133079732
ID811386,811386,139,27.952739715576172,8.192959951264452,12.827044450638866,0.0,8.718405947089195,181,0.75,1,,588.3243243243244,585.0,503.0,675.0,21768.0,43.456909726797235,11993.945945945947,11759.0,9299.0,16996.0,443776.0,1960.565578063097,,,0.05619444780744457,1.4405803558453905,-6.215704678910676E-4,-0.007609762629912841
