LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID34838,34838,131,36.03257369995117,11.161211544371046,18.469087189736378,0.0,9.27151307836175,189,0.75,1,,610.4594594594595,594.0,498.0,924.0,22587.0,96.21463119118243,30551.108108108107,30175.0,21899.0,36646.0,1130391.0,3804.0353703796045,0.05898765283496563,0.7068315446473272,0.015301871287248636,0.24208159614721428
ID31511,31511,131,20.028400421142578,15.012496694484513,16.099668692292916,0.0,1.7660024911165237,36,0.75,1,,586.7567567567568,583.0,498.0,717.0,21710.0,58.4866582152647,41675.0,41680.0,36101.0,48594.0,1541975.0,2787.8222783304454,0.03159306298166597,0.6144897000640915,0.02850139146210011,0.8285175254313099
ID34071,34071,131,27.6377010345459,11.029319331010884,18.322564365748836,0.0,6.818731840699911,139,0.75,1,,592.027027027027,565.0,500.0,951.0,21905.0,87.28130972337104,29136.27027027027,29150.0,20855.0,36646.0,1078042.0,4811.89074439934,0.04469025625434066,0.5803307396229876,0.003356767570902617,0.040514835629813756
ID32793,32793,131,38.66346740722656,11.1534602079292,18.880375379825313,0.0,4.1697281040251255,85,0.75,1,,629.9459459459459,615.0,514.0,847.0,23308.0,83.11536358377832,29841.18918918919,29708.0,23919.0,36646.0,1104124.0,3254.2034768540157,0.06681500950174586,0.9493730281038537,-0.0016976736354527358,-0.031188431774591952
ID32538,32538,131,46.98172378540039,10.95373448830191,18.91903503047855,0.0,3.630116231739521,74,0.75,1,,627.2972972972973,610.0,494.0,819.0,23210.0,92.8510949091384,28606.18918918919,28109.0,21660.0,36646.0,1058429.0,3805.4965060629943,0.07248006572152725,0.9131575884555039,-0.013403639089375106,-0.20424991798940897
ID33564,33564,131,42.81678009033203,11.55993032454708,18.634091514263744,0.0,5.8866749703884125,120,0.75,1,,632.3783783783783,606.0,507.0,1018.0,23398.0,89.74604644692073,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.07810601130034611,1.0209739816513352,0.023375573279159567,0.4247180703652978
ID35100,35100,131,25.684938430786133,11.004359457451054,18.474502285213063,0.0,10.203569948673248,208,0.75,1,,581.4594594594595,581.0,494.0,730.0,21514.0,57.419796525527964,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.038259995160105136,0.746322572035554,-8.943791301649595E-4,-0.011879500645384155
ID33821,33821,131,20.63692283630371,11.015806528478327,18.720222422570348,0.0,6.671564966440201,136,0.75,1,,583.081081081081,572.0,509.0,709.0,21574.0,48.357682589899454,28606.18918918919,28109.0,21660.0,36646.0,1058429.0,3805.4965060629943,0.038697655900986276,0.8984397797743189,-0.013403639089375106,-0.20424991798940897
ID34591,34591,131,29.91895866394043,11.521757376045269,18.52852041024329,0.0,8.486623082309961,173,0.75,1,,594.1351351351351,576.0,498.0,751.0,21983.0,64.29064307336478,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.0507435577250539,0.8925892228150603,0.023375573279159567,0.4247180703652978
ID32033,32033,131,27.80251121520996,11.559620670471649,18.159401794356793,0.0,2.5018368624150753,51,0.75,1,,599.6486486486486,582.0,519.0,770.0,22187.0,62.51142838456563,33141.27027027027,33159.0,25681.0,41145.0,1226227.0,3831.2388310415313,0.0462837385932098,0.8486847313121667,0.04341030749828611,0.7197764943659194
