LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Probability stuck,Probability diffusive
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,P stuck,P diffusive
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID32588,32588,200,14.260061264038086,14.695345357042108,16.91829708001186,0.0,3.5810606069862843,73,0.75,1,,562.0,561.0,491.0,671.0,20794.0,51.14956283075915,38815.83783783784,39591.0,31492.0,45123.0,1436186.0,3615.3970237913895,0.0194388969799506,0.41902004868756304,0.03185215030987288,0.662833190866846,,
ID32509,32509,200,12.51927661895752,14.797645618666447,16.901181188528973,0.0,3.433893732726574,70,0.75,1,,564.027027027027,559.0,486.0,663.0,20869.0,41.992384551968,39074.37837837838,40388.0,31492.0,45123.0,1445752.0,3759.8788644150595,0.01772122458013375,0.4677612822416169,0.02835048202519947,0.5730170066422384,,
ID32638,32638,200,16.03730010986328,14.810161059162917,17.04087665941118,0.0,3.5320049822330475,72,0.75,1,,558.6216216216217,559.0,490.0,627.0,20669.0,38.550364857295854,39074.37837837838,40388.0,31492.0,45123.0,1445752.0,3759.8788644150595,0.025920091787846652,0.7322211075532473,0.02835048202519947,0.5730170066422384,,
ID33152,33152,201,33.286659240722656,21.919092459726404,7.517515210563743,0.0,4.660284351557493,95,0.75,1,,614.8918918918919,597.0,512.0,776.0,22751.0,70.21031254728886,28826.91891891892,28754.0,27273.0,31137.0,1066596.0,790.6919395334969,0.05677929178801111,0.94109514403715,-0.00468267858193073,-0.3430470567077911,,
ID33290,33290,201,26.23971939086914,20.638796433941916,7.929982766340526,0.0,5.298007473349571,108,0.75,1,,595.2702702702703,590.0,521.0,757.0,22025.0,55.663996267609825,28034.432432432433,28055.0,26234.0,30397.0,1037274.0,984.9322464159807,0.04502036799717507,0.921412483446607,0.0027703919152998776,0.15727334224486664,,
ID33035,33035,201,25.092113494873047,21.846486267927883,7.575620441075663,0.0,4.758395601063967,97,0.75,1,,592.6756756756756,577.0,507.0,709.0,21929.0,52.98954511874858,28826.91891891892,28754.0,27273.0,31137.0,1066596.0,790.6919395334969,0.039604145441450314,0.8521764964249109,-0.00468267858193073,-0.3430470567077911,,
ID32910,32910,201,33.12852478027344,21.91712351958059,8.27690013078425,0.0,4.267839353531599,87,0.75,1,,615.7837837837837,602.0,468.0,816.0,22784.0,76.91739260586832,29456.64864864865,29439.0,27788.0,31339.0,1089896.0,879.3542522219932,0.05732704911174945,0.8681283405084371,0.011047037234887142,0.7320216389808709,,
ID32270,32270,201,18.959735870361328,21.492326354423458,5.645542838186188,0.0,3.0905043594539165,63,0.75,1,,590.1621621621622,591.0,515.0,675.0,21836.0,40.66633436579637,30262.162162162163,30508.0,26886.0,32293.0,1119700.0,1351.2283611899522,0.03613371610239866,1.0121925864255632,0.019696411927620026,0.865201821293695,,
ID32658,32658,201,27.63570785522461,20.479990171449806,8.004379474950067,0.0,3.7772831059992313,77,0.75,1,,594.7567567567568,589.0,472.0,782.0,22006.0,67.05570048077169,27927.567567567567,27979.0,26234.0,30397.0,1033320.0,965.0697309446532,0.050185212165152586,0.8477026533276633,0.009153367651939507,0.524962335498131,,
ID32531,32531,201,28.673372268676758,20.62550477161122,7.864875418201728,0.0,3.630116231739521,74,0.75,1,,600.6486486486486,592.0,490.0,778.0,22224.0,64.65129379826664,28034.432432432433,28055.0,26234.0,30397.0,1037274.0,984.9322464159807,0.05124731508023775,0.9058149767248788,0.0027703919152998776,0.15727334224486664,,
ID33173,33173,201,23.704364776611328,21.95633304218559,8.28271835272362,0.0,4.85650685057044,99,0.75,1,,591.6216216216217,593.0,491.0,683.0,21890.0,46.517231784069565,29456.64864864865,29439.0,27788.0,31339.0,1089896.0,879.3542522219932,0.03527246070479445,0.8666450639424215,0.011047037234887142,0.7320216389808709,,
ID32154,32154,201,20.647798538208008,21.318811517874032,5.149388726114685,0.0,3.1395599842071533,64,0.75,1,,585.7567567567568,589.0,493.0,693.0,21673.0,48.34850647205225,30656.108108108107,30844.0,27542.0,32748.0,1134276.0,1055.4772691847825,0.03709323910812422,0.8666449200495627,0.030149062677053896,1.7000898431636786,,
ID32411,32411,201,16.820188522338867,20.76767751722105,7.079051184433915,0.0,3.2867268584668636,67,0.75,1,,575.0,578.0,487.0,660.0,21275.0,40.741052187361745,27669.756756756757,27596.0,26158.0,29093.0,1023781.0,803.9660857069574,0.026820975995054782,0.7373020559292222,-0.012268035082857901,-0.8549358104888126,,
ID33438,33438,201,19.585847854614258,20.587217111067456,7.970554488369774,0.0,5.592341221868992,114,0.75,1,,593.6756756756756,594.0,501.0,715.0,21966.0,46.9237289261663,28133.837837837837,28055.0,26234.0,30397.0,1040952.0,1004.5388802141317,0.03968358896511728,0.9658206515559846,0.006411516450384338,0.35684316943653305,,
ID33055,33055,201,34.701412200927734,22.42241585335528,7.585049822693637,0.0,4.70933997631073,96,0.75,1,,612.1891891891892,613.0,507.0,771.0,22651.0,64.90627338188754,29372.027027027027,29173.0,27273.0,32293.0,1086765.0,1058.79893922014,0.05857257188615404,1.0437647698286523,9.299032637814694E-6,5.159221227209296E-4,,
ID33311,33311,201,30.9753360748291,21.246203176977104,8.123497528342517,0.0,5.199896223843098,106,0.75,1,,614.2432432432432,624.0,508.0,738.0,22727.0,60.626545985055735,28476.216216216217,28586.0,26455.0,30397.0,1053620.0,941.6890007715787,0.05297137305024312,1.0193708803099097,9.740078628312321E-4,0.058849725597019266,,
ID32677,32677,201,21.206417083740234,21.084399200986265,8.129249306010983,0.0,3.875394355505705,79,0.75,1,,583.081081081081,576.0,512.0,735.0,21574.0,58.301600120207475,28476.216216216217,28586.0,26455.0,30397.0,1053620.0,941.6890007715787,0.0327978459288603,0.6351970457354292,9.740078628312321E-4,0.058849725597019266,,
ID32933,32933,201,32.97187805175781,22.4276751376036,8.873964134266133,0.0,4.365950603038073,89,0.75,1,,619.918918918919,609.0,467.0,832.0,22937.0,83.65716359655653,29265.972972972973,29339.0,26909.0,31339.0,1082841.0,1077.4580550352575,0.045033812651646576,0.6386606000796031,0.008326274862109621,0.44858242039679863,,
ID33193,33193,201,26.31477928161621,21.67516094589713,8.162484952219042,0.0,5.003673724830151,102,0.75,1,,611.7837837837837,607.0,500.0,756.0,22636.0,50.75766780340523,29009.64864864865,29027.0,26455.0,31285.0,1073357.0,1023.2944133808493,0.04993017989992824,1.1463810780866146,0.004868035392299431,0.2746733705338026,,
ID32557,32557,201,17.80657386779785,20.147787573424182,7.869533264253759,0.0,3.7282274812459946,76,0.75,1,,569.0540540540541,571.0,495.0,642.0,21055.0,37.90627765800654,27604.864864864863,27730.0,25768.0,30259.0,1021380.0,869.1351116727147,0.023658893811494594,0.6939234258602582,0.009190746715363702,0.5785033309779462,,
ID32813,32813,201,16.780351638793945,20.727470267598605,7.224356094651754,0.0,4.120672479271889,84,0.75,1,,566.4864864864865,556.0,456.0,689.0,20960.0,47.30610814543792,27480.162162162163,27476.0,26133.0,28754.0,1016766.0,762.7700437482057,0.022152083479379747,0.5190406723653106,-0.009375805706186412,-0.6819543852866459,,
ID33073,33073,201,18.85531997680664,21.71366011835942,7.770976828069576,0.0,4.8074512258172035,98,0.75,1,,587.1081081081081,581.0,505.0,757.0,21723.0,57.77291934990139,28753.891891891893,28754.0,26455.0,31137.0,1063894.0,975.7751842561946,0.03591865313590961,0.7047225204648915,-0.0016042687546901104,-0.09470028191137404,,
ID33330,33330,201,20.096221923828125,19.90571470779913,7.975469291568202,0.0,5.494229972362518,112,0.75,1,,578.8378378378378,568.0,470.0,706.0,21417.0,51.66210383804528,27326.54054054054,27463.0,24743.0,30259.0,1011082.0,1104.3889359831173,0.03751243109041908,0.8102083635286242,0.011847759573931768,0.579446923506261,,
ID33461,33461,201,19.800859451293945,21.355824239694954,7.2729506335482474,0.0,5.641396846622229,115,0.75,1,,612.027027027027,609.0,510.0,777.0,22645.0,62.449751572536066,28238.027027027027,28339.0,26266.0,29640.0,1044807.0,879.6398406445954,0.03916458417951036,0.738718651333825,-0.009294783174090727,-0.6023574238853411,,
ID32439,32439,201,24.28965950012207,20.390888295973006,7.42048163243516,0.0,3.3357824832201004,68,0.75,1,,600.5405405405405,600.0,501.0,706.0,22220.0,43.30229311004891,27394.405405405407,27476.0,26133.0,28663.0,1013593.0,762.2617099227892,0.048466532399116746,1.2821794363223988,-0.005386698757373,-0.3892747151227975,,
ID32697,32697,201,17.110261917114258,20.629587715332534,8.033596210443116,0.0,3.826338730752468,78,0.75,1,,573.9459459459459,574.0,505.0,665.0,21236.0,47.70449894107703,28133.837837837837,28055.0,26234.0,30397.0,1040952.0,1004.5388802141317,0.02619521947060351,0.614233789834114,0.006411516450384338,0.35684316943653305,,
ID33213,33213,201,26.00674819946289,21.586202347382432,8.211330421982451,0.0,5.052729349583387,103,0.75,1,,608.5135135135135,610.0,497.0,829.0,22515.0,65.8219912683788,29009.64864864865,29027.0,26455.0,31285.0,1073357.0,1023.2944133808493,0.051458634144654826,0.9048889176527257,0.004868035392299431,0.2746733705338026,,
ID32957,32957,201,33.51454162597656,22.22837705705066,9.175096058788176,0.0,4.415006227791309,90,0.75,1,,621.5135135135135,606.0,484.0,809.0,22996.0,73.38052330967122,28964.756756756757,29069.0,26909.0,31339.0,1071696.0,1117.2123394464509,0.05677625410168555,0.9100881442466164,0.005619879611683881,0.28977260146260964,,
ID32836,32836,201,25.061920166015625,20.227635359011686,8.329811330152626,0.0,4.022561229765415,82,0.75,1,,595.1891891891892,593.0,490.0,789.0,22022.0,68.44577652656388,27629.864864864863,27728.0,24743.0,30397.0,1022305.0,1072.121214181446,0.04352548798046253,0.7254023574625984,0.01026771361983909,0.5238442004696969,,
ID33094,33094,201,29.79506492614746,21.78804549081599,7.710080497857013,0.0,4.611228726804256,94,0.75,1,,604.4054054054054,597.0,504.0,869.0,22363.0,69.04083311082388,28753.891891891893,28754.0,26455.0,31137.0,1063894.0,975.7751842561946,0.052238156025192224,0.8692127822363495,-0.0016042687546901104,-0.09470028191137404,,
ID32583,32583,201,29.675949096679688,21.145747760421273,8.222987334085259,0.0,3.5810606069862843,73,0.75,1,,603.081081081081,595.0,512.0,825.0,22314.0,68.09812298701304,28476.216216216217,28586.0,26455.0,30397.0,1053620.0,941.6890007715787,0.05259968521651571,0.8850961837066124,9.740078628312321E-4,0.058849725597019266,,
ID33481,33481,201,17.419313430786133,21.340568541794333,7.582978064126664,0.0,5.690452471375465,116,0.75,1,,579.1621621621622,576.0,470.0,752.0,21429.0,56.87486923721891,28283.18918918919,28339.0,26455.0,29707.0,1046478.0,853.0115551463609,0.025311240640237525,0.5027678279239363,-0.007458662286683601,-0.4983285853696373,,
ID33356,33356,201,19.741960525512695,20.497910341360402,7.719925265705417,0.0,5.347063098102808,109,0.75,1,,581.8108108108108,580.0,475.0,710.0,21527.0,59.82466874952999,28034.432432432433,28055.0,26234.0,30397.0,1037274.0,984.9322464159807,0.02779177971509506,0.5259478676997141,0.0027703919152998776,0.15727334224486664,,
ID32462,32462,201,31.5447940826416,20.9284677209742,7.516089642763762,0.0,3.384838107973337,69,0.75,1,,603.4324324324324,589.0,498.0,796.0,22327.0,71.16277918365148,27851.216216216217,27937.0,26266.0,29640.0,1030495.0,842.8204018233836,0.04720643312660617,0.7644949635565184,-0.007350731686657705,-0.4894111556487254,,
ID32720,32720,201,27.442209243774414,20.951661842252225,8.49928991280872,0.0,3.9244499802589417,80,0.75,1,,589.5405405405405,577.0,503.0,693.0,21813.0,51.60243028008284,28585.324324324323,28630.0,26455.0,30397.0,1057657.0,983.3872599352723,0.03568618400733567,0.7873094112344537,0.01192004793827676,0.6848261633658448,,
ID33233,33233,201,35.68772888183594,21.33912737267962,8.254462737699786,0.0,5.101784974336624,104,0.75,1,,610.7567567567568,588.0,515.0,784.0,22598.0,70.19433556024835,28916.837837837837,29027.0,26455.0,30609.0,1069923.0,898.1394198104309,0.05438617978642126,0.8976045752677234,0.0062396866687022285,0.39929914160987645,,
ID32977,32977,201,30.59239387512207,22.392216854518228,8.851048337332225,0.0,4.464061852544546,91,0.75,1,,605.7837837837837,599.0,483.0,843.0,22414.0,82.63814532685898,29265.972972972973,29339.0,26909.0,31339.0,1082841.0,1077.4580550352575,0.051843920219713166,0.7226260446102608,0.008326274862109621,0.44858242039679863,,
ID33117,33117,201,29.190750122070312,21.73345629557728,7.6535800956464275,0.0,4.905562475323677,100,0.75,1,,605.0,598.0,488.0,716.0,22385.0,54.18384343038881,28546.35135135135,28597.0,26614.0,31137.0,1056215.0,915.3427778165407,0.051795759049839935,1.0997104429863969,-0.0057417713127580795,-0.3601998605842757,,
ID32862,32862,201,19.441450119018555,20.920628061687143,7.7353246323268126,0.0,4.218783728778362,86,0.75,1,,574.9459459459459,577.0,496.0,680.0,21273.0,46.86976397182703,28064.64864864865,28070.0,26234.0,30397.0,1038392.0,986.0883219462031,0.02596359494788549,0.6208649166077247,-0.002939972966784597,-0.16784013543385895,,
ID33377,33377,201,16.866178512573242,20.229338526660673,7.2624613785130006,0.0,5.396118722856045,110,0.75,1,,578.8378378378378,573.0,499.0,674.0,21417.0,42.34023140223959,27363.702702702703,27444.0,26133.0,28586.0,1012457.0,713.3330554853378,0.032556308945249,0.8620949429758813,0.0010026612971351162,0.07684781589266065,,
